Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.27750182152	0	17.0819112628	7.55368366834	58.0	8.0	17.0819112628	7.55368366834	5005	5005
5.63821792603	1	18.7453183521	9.65523312879	79.0	8.0	18.7453183521	9.65523312879	5005	10010
8.08050394058	2	21.1176470588	10.1688901674	58.0	9.0	21.1176470588	10.1688901674	5026	15036
10.4431278706	3	22.185840708	12.1134377753	83.0	8.0	22.185840708	12.1134377753	5014	20050
13.1527860165	4	24.1057692308	13.6800094672	78.0	9.0	24.1057692308	13.6800094672	5014	25064
15.6397838593	5	29.0173410405	17.6738185217	88.0	9.0	29.0173410405	17.6738185217	5020	30084
17.9823000431	6	31.9363057325	19.033554524	116.0	9.0	31.9363057325	19.033554524	5014	35098
20.4747998714	7	40.032	26.0138227871	135.0	9.0	40.032	26.0138227871	5004	40102
23.0843758583	8	43.8813559322	30.898732762	200.0	9.0	43.8813559322	30.898732762	5178	45280
25.6192040443	9	51.0816326531	38.1101179638	200.0	11.0	51.0816326531	38.1101179638	5006	50286
28.0482180119	10	56.4831460674	33.8719042234	176.0	13.0	56.4831460674	33.8719042234	5027	55313
30.4356269836	11	68.3243243243	45.6494007267	200.0	9.0	68.3243243243	45.6494007267	5056	60369
32.4648678303	12	76.303030303	48.4114216729	200.0	12.0	76.303030303	48.4114216729	5036	65405
34.8995468616	13	68.527027027	44.1594846024	191.0	10.0	68.527027027	44.1594846024	5071	70476
36.4774680138	14	78.1875	38.4353657944	200.0	16.0	78.1875	38.4353657944	5004	75480
38.7844128609	15	88.0175438596	41.9107201578	178.0	15.0	88.0175438596	41.9107201578	5017	80497
41.4463889599	16	82.0	41.1797339938	200.0	21.0	82.0	41.1797339938	5002	85499
43.7575440407	17	83.95	40.4225287845	200.0	20.0	83.95	40.4225287845	5037	90536
46.1329538822	18	102.693877551	37.5750699385	200.0	31.0	102.693877551	37.5750699385	5032	95568
48.721146822	19	93.462962963	38.6741912999	185.0	26.0	93.462962963	38.6741912999	5047	100615
51.233355999	20	92.6909090909	40.7198288652	200.0	25.0	92.6909090909	40.7198288652	5098	105713
53.6941859722	21	102.326530612	36.797508653	200.0	30.0	102.326530612	36.797508653	5014	110727
56.221326828	22	115.113636364	45.2785399244	200.0	37.0	115.113636364	45.2785399244	5065	115792
58.4125728607	23	106.872340426	42.028671582	200.0	31.0	106.872340426	42.028671582	5023	120815
61.0314049721	24	100.1	44.3609062126	200.0	19.0	100.1	44.3609062126	5005	125820
63.5242009163	25	123.634146341	46.089920647	200.0	51.0	123.634146341	46.089920647	5069	130889
65.7242510319	26	126.725	35.0421085981	200.0	38.0	126.725	35.0421085981	5069	135958
67.6952219009	27	139.916666667	51.2392942748	200.0	31.0	139.916666667	51.2392942748	5037	140995
70.2365038395	28	148.058823529	48.6354634449	200.0	29.0	148.058823529	48.6354634449	5034	146029
72.1371459961	29	147.588235294	47.514157424	200.0	60.0	147.588235294	47.514157424	5018	151047
74.2713208199	30	171.166666667	36.1156321956	200.0	73.0	171.166666667	36.1156321956	5135	156182
76.8751199245	31	156.65625	41.3382460433	200.0	51.0	156.65625	41.3382460433	5013	161195
79.1052489281	32	178.448275862	36.3731486856	200.0	86.0	178.448275862	36.3731486856	5175	166370
81.4032678604	33	172.533333333	41.9076232789	200.0	53.0	172.533333333	41.9076232789	5176	171546
83.8160028458	34	163.516129032	42.9033955854	200.0	82.0	163.516129032	42.9033955854	5069	176615
86.2502789497	35	180.571428571	28.5974881158	200.0	105.0	180.571428571	28.5974881158	5056	181671
88.3992848396	36	164.419354839	44.3510731539	200.0	77.0	164.419354839	44.3510731539	5097	186768
90.3930609226	37	171.833333333	38.7006316342	200.0	81.0	171.833333333	38.7006316342	5155	191923
92.2959308624	38	157.6875	43.4823509455	200.0	82.0	157.6875	43.4823509455	5046	196969
94.179502964	39	163.129032258	54.3161248175	200.0	35.0	163.129032258	54.3161248175	5057	202026
96.7727730274	40	158.5	48.8984917968	200.0	65.0	158.5	48.8984917968	5072	207098
99.237869978	41	170.466666667	40.5156211301	200.0	87.0	170.466666667	40.5156211301	5114	212212
101.509095907	42	150.441176471	43.6538463884	200.0	52.0	150.441176471	43.6538463884	5115	217327
103.94055891	43	161.34375	50.6813632999	200.0	46.0	161.34375	50.6813632999	5163	222490
106.514351845	44	168.8	46.9420919858	200.0	37.0	168.8	46.9420919858	5064	227554
108.768297911	45	166.870967742	39.2738457956	200.0	79.0	166.870967742	39.2738457956	5173	232727
111.134785891	46	169.3	44.5900960603	200.0	85.0	169.3	44.5900960603	5079	237806
113.272076845	47	173.137931034	36.4764677452	200.0	99.0	173.137931034	36.4764677452	5021	242827
115.472710848	48	178.448275862	40.7968780135	200.0	71.0	178.448275862	40.7968780135	5175	248002
117.688186884	49	180.464285714	33.5191652458	200.0	95.0	180.464285714	33.5191652458	5053	253055
119.693699837	50	172.620689655	41.3174537663	200.0	68.0	172.620689655	41.3174537663	5006	258061
122.475404978	51	184.285714286	37.038452165	200.0	66.0	184.285714286	37.038452165	5160	263221
125.304064035	52	180.428571429	34.2484916992	200.0	68.0	180.428571429	34.2484916992	5052	268273
127.594825029	53	191.37037037	30.6994367763	200.0	71.0	191.37037037	30.6994367763	5167	273440
130.426360846	54	185.962962963	29.5415357076	200.0	88.0	185.962962963	29.5415357076	5021	278461
132.590107918	55	196.538461538	10.3820509654	200.0	160.0	196.538461538	10.3820509654	5110	283571
135.186457872	56	188.62962963	29.8727525399	200.0	97.0	188.62962963	29.8727525399	5093	288664
137.402647972	57	195.769230769	21.1538461538	200.0	90.0	195.769230769	21.1538461538	5090	293754
140.140856981	58	192.259259259	20.9630938355	200.0	113.0	192.259259259	20.9630938355	5191	298945
142.626045942	59	195.923076923	9.07627116303	200.0	161.0	195.923076923	9.07627116303	5094	304039
144.763106823	60	191.37037037	18.7382519208	200.0	124.0	191.37037037	18.7382519208	5167	309206
147.376212835	61	184.5	31.2895464059	200.0	64.0	184.5	31.2895464059	5166	314372
150.154599905	62	187.925925926	18.2572683161	200.0	137.0	187.925925926	18.2572683161	5074	319446
152.250257969	63	185.518518519	20.3876694223	200.0	131.0	185.518518519	20.3876694223	5009	324455
154.84187603	64	165.806451613	33.3490042941	200.0	32.0	165.806451613	33.3490042941	5140	329595
157.317209005	65	164.419354839	38.8344494502	200.0	24.0	164.419354839	38.8344494502	5097	334692
159.436362028	66	172.551724138	31.2846621084	200.0	67.0	172.551724138	31.2846621084	5004	339696
161.663990021	67	176.310344828	22.405515713	200.0	139.0	176.310344828	22.405515713	5113	344809
164.127190828	68	173.586206897	22.2207067788	200.0	98.0	173.586206897	22.2207067788	5034	349843
166.695310831	69	165.225806452	29.0446926776	200.0	109.0	165.225806452	29.0446926776	5122	354965
169.382987022	70	171.166666667	24.992109866	200.0	119.0	171.166666667	24.992109866	5135	360100
171.753170967	71	173.24137931	24.5941613094	200.0	117.0	173.24137931	24.5941613094	5024	365124
173.92916894	72	163.387096774	29.3143996537	200.0	75.0	163.387096774	29.3143996537	5065	370189
176.579802036	73	180.285714286	22.8892631456	200.0	107.0	180.285714286	22.8892631456	5048	375237
178.894398928	74	169.7	33.0657425946	200.0	81.0	169.7	33.0657425946	5091	380328
181.632108927	75	177.172413793	22.7748635872	200.0	110.0	177.172413793	22.7748635872	5138	385466
183.793601036	76	174.172413793	26.7724368882	200.0	118.0	174.172413793	26.7724368882	5051	390517
186.384824038	77	179.392857143	22.5219564072	200.0	129.0	179.392857143	22.5219564072	5023	395540
188.84510088	78	192.961538462	10.5410580743	200.0	161.0	192.961538462	10.5410580743	5017	400557
190.952323914	79	197.038461538	5.92569872044	200.0	178.0	197.038461538	5.92569872044	5123	405680
193.662204981	80	199.923076923	0.384615384615	200.0	198.0	199.923076923	0.384615384615	5198	410878
196.265637875	81	199.038461538	4.80769230769	200.0	175.0	199.038461538	4.80769230769	5175	416053
198.305507898	82	199.192307692	4.03846153846	200.0	179.0	199.192307692	4.03846153846	5179	421232
200.831022978	83	200.0	0.0	200.0	200.0	200.0	0.0	5200	426432
202.788633823	84	199.846153846	0.769230769231	200.0	196.0	199.846153846	0.769230769231	5196	431628
205.265589952	85	200.0	0.0	200.0	200.0	200.0	0.0	5200	436828
207.349050999	86	200.0	0.0	200.0	200.0	200.0	0.0	5200	442028
209.978868008	87	199.807692308	0.961538461538	200.0	195.0	199.807692308	0.961538461538	5195	447223
212.456888914	88	200.0	0.0	200.0	200.0	200.0	0.0	5200	452423
215.115252018	89	199.923076923	0.384615384615	200.0	198.0	199.923076923	0.384615384615	5198	457621
217.511920929	90	197.961538462	8.41464277422	200.0	157.0	197.961538462	8.41464277422	5147	462768
219.612659931	91	200.0	0.0	200.0	200.0	200.0	0.0	5200	467968
222.363052845	92	199.769230769	1.15384615385	200.0	194.0	199.769230769	1.15384615385	5194	473162
224.420369864	93	190.888888889	32.7644040513	200.0	55.0	190.888888889	32.7644040513	5154	478316
226.420306921	94	196.846153846	12.7933044618	200.0	135.0	196.846153846	12.7933044618	5118	483434
228.516086817	95	199.961538462	0.192307692308	200.0	199.0	199.961538462	0.192307692308	5199	488633
231.100332022	96	188.185185185	28.9175546287	200.0	99.0	188.185185185	28.9175546287	5081	493714
233.45211482	97	191.37037037	32.0036434826	200.0	48.0	191.37037037	32.0036434826	5167	498881
236.058086872	98	186.777777778	29.7450068431	200.0	98.0	186.777777778	29.7450068431	5043	503924
238.681566954	99	188.148148148	30.6916609542	200.0	94.0	188.148148148	30.6916609542	5080	509004
