Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.16435194016	0	7.6015037594	3.60855260098	20.0	3.0	7.6015037594	3.60855260098	1011	1011
3.23654699326	1	10.412371134	5.96856469185	32.0	3.0	10.412371134	5.96856469185	1010	2021
4.26233696938	2	14.5072463768	10.3806162566	75.0	3.0	14.5072463768	10.3806162566	1001	3022
5.06667780876	3	16.8166666667	8.68426098692	41.0	4.0	16.8166666667	8.68426098692	1009	4031
5.71328186989	4	21.6666666667	13.5759182215	72.0	4.0	21.6666666667	13.5759182215	1040	5071
6.53042888641	5	24.0952380952	10.5938201298	48.0	8.0	24.0952380952	10.5938201298	1012	6083
7.20822882652	6	27.3783783784	13.8023722038	66.0	7.0	27.3783783784	13.8023722038	1013	7096
8.10045289993	7	28.027027027	13.1405838993	66.0	10.0	28.027027027	13.1405838993	1037	8133
9.06096100807	8	34.1333333333	16.6947762955	82.0	11.0	34.1333333333	16.6947762955	1024	9157
9.83412885666	9	38.1481481481	13.2963478798	70.0	15.0	38.1481481481	13.2963478798	1030	10187
10.5445029736	10	41.72	16.0462332028	69.0	13.0	41.72	16.0462332028	1043	11230
11.1626839638	11	54.7894736842	31.8029772644	139.0	15.0	54.7894736842	31.8029772644	1041	12271
11.95002985	12	41.08	19.4111720409	83.0	13.0	41.08	19.4111720409	1027	13298
12.9573009014	13	50.4285714286	27.7189490431	155.0	17.0	50.4285714286	27.7189490431	1059	14357
13.7428078651	14	47.9523809524	28.3388950124	105.0	13.0	47.9523809524	28.3388950124	1007	15364
14.4654178619	15	58.9411764706	32.1585604526	164.0	12.0	58.9411764706	32.1585604526	1002	16366
15.381526947	16	53.1052631579	30.1991542873	141.0	15.0	53.1052631579	30.1991542873	1009	17375
16.1644978523	17	52.0	21.5429802952	85.0	12.0	52.0	21.5429802952	1040	18415
17.0568540096	18	68.3333333333	24.6648647991	127.0	41.0	68.3333333333	24.6648647991	1025	19440
17.8283648491	19	47.5909090909	16.5547551282	89.0	8.0	47.5909090909	16.5547551282	1047	20487
18.5822269917	20	56.2222222222	23.2941469891	132.0	32.0	56.2222222222	23.2941469891	1012	21499
19.3784217834	21	58.1666666667	23.629665912	104.0	32.0	58.1666666667	23.629665912	1047	22546
20.2732999325	22	53.6842105263	21.5822847227	106.0	20.0	53.6842105263	21.5822847227	1020	23566
21.0627279282	23	61.0	28.5079968141	124.0	21.0	61.0	28.5079968141	1037	24603
21.8617949486	24	72.0	29.3189358606	139.0	32.0	72.0	29.3189358606	1080	25683
22.6400887966	25	88.0833333333	34.3789139186	155.0	26.0	88.0833333333	34.3789139186	1057	26740
23.2395539284	26	77.4615384615	37.826761761	163.0	22.0	77.4615384615	37.826761761	1007	27747
23.7516598701	27	86.1666666667	47.8606193952	227.0	39.0	86.1666666667	47.8606193952	1034	28781
24.6241979599	28	96.2727272727	36.4494442135	156.0	18.0	96.2727272727	36.4494442135	1059	29840
25.5065119267	29	102.5	35.8921997097	170.0	41.0	102.5	35.8921997097	1025	30865
26.3332979679	30	105.7	47.558490304	237.0	62.0	105.7	47.558490304	1057	31922
27.2207129002	31	96.1818181818	42.5244703496	174.0	32.0	96.1818181818	42.5244703496	1058	32980
28.1249339581	32	119.777777778	24.1926424893	158.0	84.0	119.777777778	24.1926424893	1078	34058
28.7317759991	33	116.0	52.5251262625	226.0	60.0	116.0	52.5251262625	1044	35102
29.5261268616	34	122.777777778	33.9010906995	182.0	73.0	122.777777778	33.9010906995	1105	36207
30.3078289032	35	103.7	26.6760191933	133.0	58.0	103.7	26.6760191933	1037	37244
31.1066420078	36	128.125	54.9054585173	211.0	50.0	128.125	54.9054585173	1025	38269
32.1217229366	37	151.0	37.0057910526	197.0	88.0	151.0	37.0057910526	1057	39326
33.163779974	38	135.0	79.5298686029	302.0	48.0	135.0	79.5298686029	1080	40406
34.0889790058	39	132.777777778	51.7231471453	214.0	55.0	132.777777778	51.7231471453	1195	41601
35.0853528976	40	107.8	30.3703803071	162.0	60.0	107.8	30.3703803071	1078	42679
36.0548419952	41	140.75	50.0867996582	234.0	45.0	140.75	50.0867996582	1126	43805
36.8505609035	42	118.888888889	28.2742302948	159.0	73.0	118.888888889	28.2742302948	1070	44875
37.5335819721	43	144.0	41.4418697868	196.0	69.0	144.0	41.4418697868	1008	45883
38.3674709797	44	135.625	80.9273400959	330.0	60.0	135.625	80.9273400959	1085	46968
39.1297998428	45	121.111111111	41.2591927654	204.0	63.0	121.111111111	41.2591927654	1090	48058
40.089979887	46	105.7	32.1	165.0	46.0	105.7	32.1	1057	49115
41.0521478653	47	107.4	36.8108679604	168.0	53.0	107.4	36.8108679604	1074	50189
41.7506258488	48	136.125	50.3573169956	219.0	65.0	136.125	50.3573169956	1089	51278
42.3371739388	49	118.555555556	48.0257132774	200.0	53.0	118.555555556	48.0257132774	1067	52345
43.2087068558	50	135.875	56.734992509	219.0	39.0	135.875	56.734992509	1087	53432
44.33075881	51	128.111111111	82.1927875241	331.0	33.0	128.111111111	82.1927875241	1153	54585
45.2400770187	52	134.625	39.4649765615	223.0	93.0	134.625	39.4649765615	1077	55662
46.2119088173	53	108.6	51.7903465908	191.0	19.0	108.6	51.7903465908	1086	56748
47.0288698673	54	115.888888889	47.9338536004	216.0	49.0	115.888888889	47.9338536004	1043	57791
47.9906640053	55	111.222222222	39.1117424191	183.0	60.0	111.222222222	39.1117424191	1001	58792
48.8261330128	56	121.222222222	28.3187326214	157.0	84.0	121.222222222	28.3187326214	1091	59883
49.6894638538	57	151.571428571	71.171537535	259.0	47.0	151.571428571	71.171537535	1061	60944
50.4121158123	58	257.25	55.2827956963	331.0	189.0	257.25	55.2827956963	1029	61973
51.0734319687	59	247.2	95.8507172639	389.0	137.0	247.2	95.8507172639	1236	63209
51.8567378521	60	627.0	188.0	815.0	439.0	627.0	188.0	1254	64463
52.6818659306	61	165.857142857	116.219531886	380.0	42.0	165.857142857	116.219531886	1161	65624
53.611743927	62	667.0	304.0	971.0	363.0	667.0	304.0	1334	66958
54.610011816	63	476.666666667	93.242813247	566.0	348.0	476.666666667	93.242813247	1430	68388
55.3799788952	64	358.666666667	201.894912159	540.0	77.0	358.666666667	201.894912159	1076	69464
56.3778548241	65	612.0	388.0	1000.0	224.0	612.0	388.0	1224	70688
57.3218967915	66	312.25	227.037854773	696.0	132.0	312.25	227.037854773	1249	71937
58.232131958	67	275.25	246.236040213	696.0	73.0	275.25	246.236040213	1101	73038
59.4554858208	68	333.0	347.015849782	1000.0	58.0	333.0	347.015849782	1665	74703
60.4571559429	69	304.5	282.183007993	793.0	131.0	304.5	282.183007993	1218	75921
61.4423398972	70	465.666666667	147.334841621	653.0	293.0	465.666666667	147.334841621	1397	77318
62.0142149925	71	525.0	475.0	1000.0	50.0	525.0	475.0	1050	78368
63.0859029293	72	648.0	164.0	812.0	484.0	648.0	164.0	1296	79664
63.9913039207	73	399.666666667	84.104432437	502.0	296.0	399.666666667	84.104432437	1199	80863
64.7881159782	74	448.333333333	45.7335276964	513.0	415.0	448.333333333	45.7335276964	1345	82208
65.7327740192	75	378.333333333	96.3477497863	484.0	251.0	378.333333333	96.3477497863	1135	83343
66.7072877884	76	404.666666667	124.927534551	515.0	230.0	404.666666667	124.927534551	1214	84557
68.2602658272	77	985.0	15.0	1000.0	970.0	985.0	15.0	1970	86527
69.0633399487	78	528.0	163.0	691.0	365.0	528.0	163.0	1056	87583
70.2061460018	79	535.666666667	328.353806468	1000.0	299.0	535.666666667	328.353806468	1607	89190
71.7766819	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	91190
73.3368358612	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	93190
74.9932107925	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	95190
76.0052418709	83	548.5	451.5	1000.0	97.0	548.5	451.5	1097	96287
77.4452238083	84	996.0	4.0	1000.0	992.0	996.0	4.0	1992	98279
78.3284850121	85	606.5	393.5	1000.0	213.0	606.5	393.5	1213	99492
79.74822402	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	101492
81.2093448639	87	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	103492
