Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.34595012665	0	18.4264705882	9.33536315257	74.0	8.0	18.4264705882	9.33536315257	5012	5012
5.96439194679	1	19.56640625	9.32546729177	62.0	9.0	19.56640625	9.32546729177	5009	10021
8.75116610527	2	21.658008658	9.56454099889	52.0	9.0	21.658008658	9.56454099889	5003	15024
10.894288063	3	23.0875576037	10.9509455867	69.0	9.0	23.0875576037	10.9509455867	5010	20034
13.7568261623	4	26.4867724868	13.8596931739	77.0	10.0	26.4867724868	13.8596931739	5006	25040
16.1531741619	5	27.1135135135	15.13482046	96.0	9.0	27.1135135135	15.13482046	5016	30056
18.8217151165	6	26.6489361702	12.2723590536	83.0	8.0	26.6489361702	12.2723590536	5010	35066
21.3312289715	7	31.25625	18.0136222326	117.0	9.0	31.25625	18.0136222326	5001	40067
23.9738690853	8	29.7278106509	14.8255096183	93.0	10.0	29.7278106509	14.8255096183	5024	45091
26.5758750439	9	37.0740740741	20.4061100616	147.0	12.0	37.0740740741	20.4061100616	5005	50096
28.8737471104	10	33.8590604027	17.3487790934	97.0	9.0	33.8590604027	17.3487790934	5045	55141
31.7141840458	11	35.9787234043	19.8788772337	146.0	12.0	35.9787234043	19.8788772337	5073	60214
34.6207239628	12	39.2265625	18.5586969352	96.0	12.0	39.2265625	18.5586969352	5021	65235
37.1518831253	13	42.1166666667	19.0355734233	99.0	12.0	42.1166666667	19.0355734233	5054	70289
39.7387490273	14	41.652892562	20.6152117244	129.0	11.0	41.652892562	20.6152117244	5040	75329
42.2338001728	15	43.8947368421	18.7875324566	89.0	14.0	43.8947368421	18.7875324566	5004	80333
45.1649150848	16	52.5729166667	27.6946688581	200.0	18.0	52.5729166667	27.6946688581	5047	85380
47.7068750858	17	43.5739130435	20.0647044072	126.0	14.0	43.5739130435	20.0647044072	5011	90391
50.2222249508	18	45.6846846847	20.5662988485	119.0	12.0	45.6846846847	20.5662988485	5071	95462
52.2021691799	19	51.1632653061	24.5076805444	177.0	16.0	51.1632653061	24.5076805444	5014	100476
55.1318011284	20	52.0721649485	24.0820108344	151.0	14.0	52.0721649485	24.0820108344	5051	105527
57.9123330116	21	51.8556701031	20.835135714	118.0	18.0	51.8556701031	20.835135714	5030	110557
59.8494861126	22	54.956043956	25.9661284389	165.0	17.0	54.956043956	25.9661284389	5001	115558
62.5153491497	23	57.0227272727	27.7746521428	146.0	16.0	57.0227272727	27.7746521428	5018	120576
65.3873391151	24	53.5106382979	20.2257181346	112.0	10.0	53.5106382979	20.2257181346	5030	125606
67.6020140648	25	56.8977272727	23.6417580164	137.0	22.0	56.8977272727	23.6417580164	5007	130613
70.2975809574	26	56.2808988764	19.809195892	104.0	16.0	56.2808988764	19.809195892	5009	135622
72.7720160484	27	58.9411764706	28.639895227	156.0	19.0	58.9411764706	28.639895227	5010	140632
74.8471441269	28	65.3376623377	31.3072790962	200.0	21.0	65.3376623377	31.3072790962	5031	145663
77.4015331268	29	63.3670886076	24.6438824489	131.0	22.0	63.3670886076	24.6438824489	5006	150669
79.8708021641	30	62.1234567901	25.8042884349	160.0	22.0	62.1234567901	25.8042884349	5032	155701
82.5312120914	31	67.5733333333	32.1231685168	200.0	18.0	67.5733333333	32.1231685168	5068	160769
85.0882029533	32	65.9605263158	26.3261131066	155.0	29.0	65.9605263158	26.3261131066	5013	165782
87.6128730774	33	65.2077922078	22.3486759318	124.0	21.0	65.2077922078	22.3486759318	5021	170803
90.4538350105	34	64.1282051282	28.3102586165	163.0	21.0	64.1282051282	28.3102586165	5002	175805
93.1805789471	35	64.7692307692	25.5889214194	153.0	23.0	64.7692307692	25.5889214194	5052	180857
