Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.04778599739	0	17.935483871	8.70686268071	69.0	8.0	17.935483871	8.70686268071	5004	5004
5.3610060215	1	19.2538461538	9.71779615603	75.0	8.0	19.2538461538	9.71779615603	5006	10010
7.74456501007	2	21.7056277056	12.1148870325	89.0	8.0	21.7056277056	12.1148870325	5014	15024
10.3592810631	3	21.8864628821	10.0507550467	74.0	8.0	21.8864628821	10.0507550467	5012	20036
12.8199179173	4	24.5539215686	14.3783618171	83.0	8.0	24.5539215686	14.3783618171	5009	25045
14.8513300419	5	27.7569060773	15.8179043718	117.0	9.0	27.7569060773	15.8179043718	5024	30069
16.9534521103	6	28.8045977011	16.2843547231	120.0	10.0	28.8045977011	16.2843547231	5012	35081
19.0013821125	7	30.2228915663	15.281446545	82.0	10.0	30.2228915663	15.281446545	5017	40098
21.0852210522	8	32.2179487179	18.1289168612	116.0	10.0	32.2179487179	18.1289168612	5026	45124
23.6305499077	9	36.7463768116	18.1283913746	87.0	9.0	36.7463768116	18.1283913746	5071	50195
25.6832919121	10	35.8510638298	20.983592432	134.0	12.0	35.8510638298	20.983592432	5055	55250
27.9793329239	11	35.8714285714	18.0050956506	111.0	9.0	35.8714285714	18.0050956506	5022	60272
30.2735490799	12	41.4380165289	20.0935385206	112.0	12.0	41.4380165289	20.0935385206	5014	65286
32.8108940125	13	41.675	19.4122652379	115.0	14.0	41.675	19.4122652379	5001	70287
35.3259658813	14	41.675	23.2228919029	151.0	11.0	41.675	23.2228919029	5001	75288
37.4631519318	15	45.6396396396	19.3319941099	96.0	14.0	45.6396396396	19.3319941099	5066	80354
39.1791770458	16	45.4727272727	20.7669795112	105.0	13.0	45.4727272727	20.7669795112	5002	85356
41.7041859627	17	45.5181818182	21.4054928457	101.0	15.0	45.5181818182	21.4054928457	5007	90363
44.1918671131	18	52.2268041237	24.1965768878	127.0	19.0	52.2268041237	24.1965768878	5066	95429
46.8552598953	19	49.7326732673	24.2804941837	148.0	12.0	49.7326732673	24.2804941837	5023	100452
49.2650840282	20	50.5858585859	23.1001377848	111.0	10.0	50.5858585859	23.1001377848	5008	105460
51.6272079945	21	51.6597938144	23.5099832262	137.0	15.0	51.6597938144	23.5099832262	5011	110471
54.0198578835	22	59.2674418605	29.4817343604	200.0	18.0	59.2674418605	29.4817343604	5097	115568
56.4733679295	23	55.043956044	27.1539817929	172.0	19.0	55.043956044	27.1539817929	5009	120577
59.0077679157	24	54.5869565217	21.3939000723	116.0	15.0	54.5869565217	21.3939000723	5022	125599
61.7041010857	25	66.0519480519	30.59025229	171.0	18.0	66.0519480519	30.59025229	5086	130685
64.1496829987	26	58.1627906977	23.3381913097	117.0	20.0	58.1627906977	23.3381913097	5002	135687
66.8381829262	27	63.8987341772	26.4123077068	173.0	29.0	63.8987341772	26.4123077068	5048	140735
68.9360609055	28	69.6944444444	31.1143227509	175.0	21.0	69.6944444444	31.1143227509	5018	145753
70.5765969753	29	63.3417721519	24.4379276069	142.0	26.0	63.3417721519	24.4379276069	5004	150757
72.391753912	30	69.7361111111	28.1227433937	158.0	27.0	69.7361111111	28.1227433937	5021	155778
74.3183960915	31	66.7763157895	23.0186415783	142.0	25.0	66.7763157895	23.0186415783	5075	160853
76.5365989208	32	68.0405405405	28.9563694105	174.0	25.0	68.0405405405	28.9563694105	5035	165888
79.0441548824	33	69.5068493151	24.0342924456	158.0	27.0	69.5068493151	24.0342924456	5074	170962
80.9572389126	34	70.5416666667	29.4443625523	138.0	19.0	70.5416666667	29.4443625523	5079	176041
82.9122619629	35	76.3432835821	26.5254325939	163.0	32.0	76.3432835821	26.5254325939	5115	181156
84.6846430302	36	86.3275862069	40.0802591064	200.0	25.0	86.3275862069	40.0802591064	5007	186163
86.4089529514	37	83.9166666667	36.0953790517	178.0	27.0	83.9166666667	36.0953790517	5035	191198
88.3725039959	38	84.5	31.2780540742	177.0	25.0	84.5	31.2780540742	5070	196268
