Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.2668390274	0	13.9693593315	4.92581821679	35.0	8.0	13.9693593315	4.92581821679	5015	5015
5.67489600182	1	14.4971098266	5.61184160623	50.0	8.0	14.4971098266	5.61184160623	5016	10031
8.26211285591	2	14.3793103448	5.31532457959	44.0	8.0	14.3793103448	5.31532457959	5004	15035
10.8099589348	3	16.4572368421	6.60129674236	44.0	8.0	16.4572368421	6.60129674236	5003	20038
13.4078979492	4	16.3725490196	6.79906025123	47.0	8.0	16.3725490196	6.79906025123	5010	25048
16.0362799168	5	18.479704797	8.13711790106	52.0	8.0	18.479704797	8.13711790106	5008	30056
18.3725669384	6	17.8892857143	8.16253808942	54.0	8.0	17.8892857143	8.16253808942	5009	35065
20.7603650093	7	20.3861788618	10.0757926534	64.0	9.0	20.3861788618	10.0757926534	5015	40080
23.413091898	8	23.7924528302	11.5429607571	70.0	9.0	23.7924528302	11.5429607571	5044	45124
26.090389967	9	22.7772727273	11.2104023048	70.0	9.0	22.7772727273	11.2104023048	5011	50135
28.3501489162	10	25.4923857868	12.0635454921	78.0	9.0	25.4923857868	12.0635454921	5022	55157
30.7502698898	11	29.775147929	15.1211000393	80.0	9.0	29.775147929	15.1211000393	5032	60189
33.2313549519	12	28.7257142857	14.972133026	97.0	8.0	28.7257142857	14.972133026	5027	65216
36.0598168373	13	30.3757575758	17.8856134891	99.0	9.0	30.3757575758	17.8856134891	5012	70228
38.0924258232	14	32.1282051282	15.9665989301	100.0	10.0	32.1282051282	15.9665989301	5012	75240
40.3689489365	15	36.1294964029	20.0799963213	118.0	12.0	36.1294964029	20.0799963213	5022	80262
43.0547869205	16	37.2740740741	20.336950363	129.0	9.0	37.2740740741	20.336950363	5032	85294
45.6099619865	17	36.8676470588	18.4828254236	103.0	12.0	36.8676470588	18.4828254236	5014	90308
47.9684460163	18	38.7829457364	19.4903916858	128.0	13.0	38.7829457364	19.4903916858	5003	95311
50.3471009731	19	39.7222222222	19.0561571472	104.0	11.0	39.7222222222	19.0561571472	5005	100316
52.9468379021	20	42.3865546218	20.6715447028	152.0	11.0	42.3865546218	20.6715447028	5044	105360
55.6251478195	21	43.0512820513	20.0545606868	109.0	14.0	43.0512820513	20.0545606868	5037	110397
57.9210498333	22	49.5196078431	23.9196901384	137.0	14.0	49.5196078431	23.9196901384	5051	115448
60.2124710083	23	46.1376146789	24.6451766463	158.0	13.0	46.1376146789	24.6451766463	5029	120477
62.9306030273	24	49.5742574257	23.7392379096	150.0	16.0	49.5742574257	23.7392379096	5007	125484
65.057546854	25	51.618556701	23.4878531006	134.0	14.0	51.618556701	23.4878531006	5007	130491
66.7578008175	26	47.5377358491	21.8499058883	152.0	13.0	47.5377358491	21.8499058883	5039	135530
68.3803889751	27	53.7741935484	23.6070560949	145.0	19.0	53.7741935484	23.6070560949	5001	140531
70.1884658337	28	54.4565217391	20.2706754587	132.0	16.0	54.4565217391	20.2706754587	5010	145541
72.2483890057	29	57.5057471264	27.1779464193	157.0	12.0	57.5057471264	27.1779464193	5003	150544
74.3555948734	30	55.8791208791	25.137352429	149.0	15.0	55.8791208791	25.137352429	5085	155629
76.4912359715	31	55.1978021978	25.8151585847	156.0	17.0	55.1978021978	25.8151585847	5023	160652
79.200330019	32	57.5402298851	26.1084407885	159.0	19.0	57.5402298851	26.1084407885	5006	165658
81.7333989143	33	59.0352941176	24.2027937419	136.0	14.0	59.0352941176	24.2027937419	5018	170676
84.2299349308	34	66.5263157895	30.1419770613	161.0	22.0	66.5263157895	30.1419770613	5056	175732
86.7776730061	35	63.9113924051	30.6958084276	185.0	27.0	63.9113924051	30.6958084276	5049	180781
89.3040549755	36	69.75	27.9417797492	148.0	20.0	69.75	27.9417797492	5022	185803
92.0051219463	37	65.0909090909	25.1562296734	148.0	21.0	65.0909090909	25.1562296734	5012	190815
94.1521179676	38	69.1643835616	33.5869404246	163.0	22.0	69.1643835616	33.5869404246	5049	195864
96.1502838135	39	74.6567164179	39.1016861257	200.0	21.0	74.6567164179	39.1016861257	5002	200866
98.6865289211	40	86.8644067797	37.0242511579	200.0	23.0	86.8644067797	37.0242511579	5125	205991
