Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.88940382004	0	7.52631578947	4.67850459266	30.0	3.0	7.52631578947	4.67850459266	1001	1001
2.53653883934	1	17.3965517241	10.2418001771	59.0	5.0	17.3965517241	10.2418001771	1009	2010
2.99870300293	2	28.9714285714	13.0394691265	69.0	9.0	28.9714285714	13.0394691265	1014	3024
3.58328485489	3	37.0714285714	16.2016942929	89.0	13.0	37.0714285714	16.2016942929	1038	4062
4.10819888115	4	35.7857142857	27.5957516695	117.0	11.0	35.7857142857	27.5957516695	1002	5064
4.65980696678	5	33.8387096774	14.7081210269	58.0	8.0	33.8387096774	14.7081210269	1049	6113
5.19848895073	6	34.9310344828	17.8188800191	74.0	10.0	34.9310344828	17.8188800191	1013	7126
5.80367398262	7	31.84375	17.6495562533	76.0	8.0	31.84375	17.6495562533	1019	8145
6.43352198601	8	45.1304347826	23.0109696862	103.0	11.0	45.1304347826	23.0109696862	1038	9183
6.94335699081	9	63.0625	20.4617593024	105.0	37.0	63.0625	20.4617593024	1009	10192
7.47895097733	10	70.1333333333	42.5438858383	189.0	13.0	70.1333333333	42.5438858383	1052	11244
8.01166296005	11	61.2352941176	37.5178850084	165.0	15.0	61.2352941176	37.5178850084	1041	12285
8.51585102081	12	71.5	46.596673701	180.0	14.0	71.5	46.596673701	1001	13286
9.02126002312	13	77.0769230769	38.9644049367	146.0	17.0	77.0769230769	38.9644049367	1002	14288
9.5421500206	14	63.8125	25.9668508632	121.0	12.0	63.8125	25.9668508632	1021	15309
10.0659358501	15	72.5714285714	30.8839169558	115.0	24.0	72.5714285714	30.8839169558	1016	16325
10.6851239204	16	59.3529411765	21.2074936159	101.0	23.0	59.3529411765	21.2074936159	1009	17334
11.3109269142	17	65.8125	17.8613365611	93.0	28.0	65.8125	17.8613365611	1053	18387
11.9034609795	18	78.5	16.3084115019	101.0	45.0	78.5	16.3084115019	1099	19486
12.4593889713	19	68.1333333333	11.494153103	95.0	50.0	68.1333333333	11.494153103	1022	20508
12.8944959641	20	53.1052631579	12.7357546295	100.0	41.0	53.1052631579	12.7357546295	1009	21517
13.3427119255	21	40.44	7.47839554985	61.0	22.0	40.44	7.47839554985	1011	22528
13.9037029743	22	27.1081081081	8.74189596537	43.0	6.0	27.1081081081	8.74189596537	1003	23531
14.4048268795	23	21.2978723404	6.08071557105	35.0	6.0	21.2978723404	6.08071557105	1001	24532
14.8704249859	24	28.1666666667	12.4175055645	77.0	14.0	28.1666666667	12.4175055645	1014	25546
15.3352718353	25	39.5	14.2592749843	82.0	20.0	39.5	14.2592749843	1027	26573
15.8018200397	26	24.2857142857	4.94871659305	36.0	16.0	24.2857142857	4.94871659305	1020	27593
16.3388798237	27	25.8205128205	3.86882208849	37.0	17.0	25.8205128205	3.86882208849	1007	28600
16.9008448124	28	45.8636363636	23.1443993904	140.0	26.0	45.8636363636	23.1443993904	1009	29609
17.3414158821	29	46.0909090909	14.3460767235	92.0	27.0	46.0909090909	14.3460767235	1014	30623
17.7993190289	30	41.28	5.15767389431	54.0	26.0	41.28	5.15767389431	1032	31655
18.2423729897	31	53.7894736842	12.0812118047	94.0	39.0	53.7894736842	12.0812118047	1022	32677
18.7527368069	32	101.454545455	23.4960872424	143.0	58.0	101.454545455	23.4960872424	1116	33793
19.3478589058	33	71.7857142857	9.45046160194	100.0	59.0	71.7857142857	9.45046160194	1005	34798
19.8959479332	34	79.2307692308	6.04029859366	90.0	70.0	79.2307692308	6.04029859366	1030	35828
20.5560438633	35	158.285714286	49.8876288292	270.0	115.0	158.285714286	49.8876288292	1108	36936
21.2267489433	36	122.555555556	7.70441592149	139.0	113.0	122.555555556	7.70441592149	1103	38039
21.8118858337	37	123.666666667	3.33333333333	130.0	118.0	123.666666667	3.33333333333	1113	39152
22.3986318111	38	205.2	8.0099937578	215.0	193.0	205.2	8.0099937578	1026	40178
23.4217119217	39	875.0	125.0	1000.0	750.0	875.0	125.0	1750	41928
24.196461916	40	165.375	126.417895786	400.0	50.0	165.375	126.417895786	1323	43251
24.7203919888	41	49.0476190476	22.2442634456	108.0	15.0	49.0476190476	22.2442634456	1030	44281
25.2601790428	42	22.3333333333	11.1375241613	69.0	8.0	22.3333333333	11.1375241613	1005	45286
25.9418950081	43	17.5344827586	8.96394216934	63.0	6.0	17.5344827586	8.96394216934	1017	46303
26.5680239201	44	18.9811320755	8.08093625726	44.0	6.0	18.9811320755	8.08093625726	1006	47309
