Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.00458884239	0	16.1935483871	6.57423786746	39.0	9.0	16.1935483871	6.57423786746	1004	1004
1.57175207138	1	21.9347826087	10.9671489179	63.0	9.0	21.9347826087	10.9671489179	1009	2013
2.16127490997	2	22.9318181818	13.1449916617	62.0	9.0	22.9318181818	13.1449916617	1009	3022
2.49083900452	3	18.3272727273	7.43714154633	47.0	9.0	18.3272727273	7.43714154633	1008	4030
2.86768293381	4	21.7021276596	9.38744044062	61.0	9.0	21.7021276596	9.38744044062	1020	5050
3.48322200775	5	24.6585365854	11.4393624163	64.0	12.0	24.6585365854	11.4393624163	1011	6061
4.00039100647	6	25.275	13.6051231159	75.0	11.0	25.275	13.6051231159	1011	7072
4.53661084175	7	23.6511627907	10.2636946993	52.0	10.0	23.6511627907	10.2636946993	1017	8089
5.06575584412	8	32.4545454545	20.4066104992	101.0	11.0	32.4545454545	20.4066104992	1071	9160
5.59998893738	9	34.6666666667	14.0862423031	74.0	15.0	34.6666666667	14.0862423031	1040	10200
6.24449205399	10	34.2903225806	16.9994184879	83.0	12.0	34.2903225806	16.9994184879	1063	11263
6.69736385345	11	37.7777777778	16.9232107393	91.0	14.0	37.7777777778	16.9232107393	1020	12283
7.2109439373	12	43.8695652174	21.0099445353	90.0	14.0	43.8695652174	21.0099445353	1009	13292
7.7144908905	13	33.4193548387	16.4821980087	100.0	14.0	33.4193548387	16.4821980087	1036	14328
8.19118905067	14	47.7142857143	18.8632746163	89.0	16.0	47.7142857143	18.8632746163	1002	15330
8.69320201874	15	44.0833333333	16.1681700332	75.0	12.0	44.0833333333	16.1681700332	1058	16388
9.27183794975	16	44.04	22.3436433914	108.0	19.0	44.04	22.3436433914	1101	17489
9.78176689148	17	48.8571428571	21.6317353162	111.0	21.0	48.8571428571	21.6317353162	1026	18515
10.3192369938	18	43.9166666667	14.739167397	77.0	14.0	43.9166666667	14.739167397	1054	19569
10.8587930202	19	50.5238095238	19.7523212563	95.0	19.0	50.5238095238	19.7523212563	1061	20630
11.3753139973	20	57.3333333333	19.3419521019	95.0	23.0	57.3333333333	19.3419521019	1032	21662
11.9386379719	21	54.05	18.9353505381	89.0	28.0	54.05	18.9353505381	1081	22743
12.5525689125	22	47.8181818182	20.2611055151	100.0	19.0	47.8181818182	20.2611055151	1052	23795
13.1689660549	23	51.7	21.6450918224	99.0	16.0	51.7	21.6450918224	1034	24829
13.6843519211	24	59.1176470588	26.7271229343	119.0	25.0	59.1176470588	26.7271229343	1005	25834
14.242620945	25	55.0	19.7164104772	94.0	18.0	55.0	19.7164104772	1045	26879
14.7610440254	26	52.1	20.250679001	89.0	22.0	52.1	20.250679001	1042	27921
15.3424808979	27	47.8095238095	19.5706754576	108.0	19.0	47.8095238095	19.5706754576	1004	28925
