Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.17435789108	0	18.3970588235	8.06296855617	49.0	8.0	18.3970588235	8.06296855617	5004	5004
5.69680595398	1	18.5592592593	7.59008901813	55.0	9.0	18.5592592593	7.59008901813	5011	10015
8.11361598969	2	19.9243027888	9.95318959327	66.0	8.0	19.9243027888	9.95318959327	5001	15016
10.5356359482	3	23.4882629108	12.5127579321	86.0	9.0	23.4882629108	12.5127579321	5003	20019
12.8266577721	4	23.3534883721	11.8825913084	88.0	10.0	23.3534883721	11.8825913084	5021	25040
15.4275038242	5	24.1778846154	12.9941588707	82.0	9.0	24.1778846154	12.9941588707	5029	30069
17.6907758713	6	27.5274725275	14.9991506421	75.0	9.0	27.5274725275	14.9991506421	5010	35079
20.2758939266	7	30.8703703704	18.0971789933	109.0	10.0	30.8703703704	18.0971789933	5001	40080
22.6064109802	8	30.1506024096	16.2742377053	115.0	11.0	30.1506024096	16.2742377053	5005	45085
25.3308489323	9	33.9798657718	16.4555409973	90.0	9.0	33.9798657718	16.4555409973	5063	50148
27.8207848072	10	38.1742424242	21.2544099567	120.0	10.0	38.1742424242	21.2544099567	5039	55187
30.2455408573	11	37.1703703704	20.8914445508	131.0	11.0	37.1703703704	20.8914445508	5018	60205
32.966244936	12	38.4769230769	20.1952832972	117.0	11.0	38.4769230769	20.1952832972	5002	65207
35.5692389011	13	36.1798561151	16.5947256068	91.0	10.0	36.1798561151	16.5947256068	5029	70236
37.6898519993	14	44.5221238938	18.7584068918	107.0	17.0	44.5221238938	18.7584068918	5031	75267
40.4702877998	15	43.8434782609	20.9643968606	120.0	11.0	43.8434782609	20.9643968606	5042	80309
42.5004580021	16	48.2019230769	23.2508807971	145.0	16.0	48.2019230769	23.2508807971	5013	85322
44.923609972	17	43.9217391304	16.4317549546	110.0	14.0	43.9217391304	16.4317549546	5051	90373
47.1560578346	18	48.1346153846	21.2023482427	144.0	12.0	48.1346153846	21.2023482427	5006	95379
49.9047489166	19	48.854368932	17.8077150113	101.0	12.0	48.854368932	17.8077150113	5032	100411
52.4428808689	20	48.1826923077	24.3964705924	168.0	16.0	48.1826923077	24.3964705924	5011	105422
55.2396979332	21	52.1458333333	27.3511041698	180.0	17.0	52.1458333333	27.3511041698	5006	110428
57.9292387962	22	50.41	18.0616139921	110.0	19.0	50.41	18.0616139921	5041	115469
60.160545826	23	56.8409090909	21.9834061198	161.0	22.0	56.8409090909	21.9834061198	5002	120471
62.4836528301	24	53.2765957447	22.0827285237	141.0	17.0	53.2765957447	22.0827285237	5008	125479
65.0433759689	25	56.9090909091	20.4420669007	128.0	17.0	56.9090909091	20.4420669007	5008	130487
67.5877268314	26	55.2608695652	24.3894442443	157.0	20.0	55.2608695652	24.3894442443	5084	135571
70.0177359581	27	57.5172413793	22.9736791268	130.0	23.0	57.5172413793	22.9736791268	5004	140575
72.5775978565	28	56.7865168539	26.7969778231	200.0	16.0	56.7865168539	26.7969778231	5054	145629
75.2705559731	29	65.5974025974	27.1021443251	156.0	17.0	65.5974025974	27.1021443251	5051	150680
