Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.12958192825	0	6.11515151515	3.33831033401	20.0	3.0	6.11515151515	3.33831033401	1009	1009
3.09826993942	1	8.89380530973	5.29545276939	29.0	3.0	8.89380530973	5.29545276939	1005	2014
4.03274893761	2	13.2763157895	9.83495201633	55.0	3.0	13.2763157895	9.83495201633	1009	3023
4.80285382271	3	17.7931034483	10.0460296166	44.0	4.0	17.7931034483	10.0460296166	1032	4055
5.56177282333	4	20.0980392157	10.906473886	67.0	6.0	20.0980392157	10.906473886	1025	5080
6.2960050106	5	17.8928571429	8.61617783058	47.0	3.0	17.8928571429	8.61617783058	1002	6082
7.00262904167	6	23.9523809524	8.97337962811	44.0	6.0	23.9523809524	8.97337962811	1006	7088
7.76630282402	7	22.5777777778	13.1224809458	86.0	9.0	22.5777777778	13.1224809458	1016	8104
8.55395197868	8	27.4594594595	14.3368634562	82.0	7.0	27.4594594595	14.3368634562	1016	9120
9.40562582016	9	28.3611111111	12.1178307047	59.0	12.0	28.3611111111	12.1178307047	1021	10141
10.1342790127	10	25.175	10.1140681726	60.0	8.0	25.175	10.1140681726	1007	11148
10.8744528294	11	28.6857142857	11.4462006886	49.0	11.0	28.6857142857	11.4462006886	1004	12152
11.7566189766	12	26.1282051282	10.330883466	56.0	11.0	26.1282051282	10.330883466	1019	13171
12.5247309208	13	26.6578947368	11.4691263279	63.0	11.0	26.6578947368	11.4691263279	1013	14184
13.077796936	14	26.3684210526	11.0487461842	61.0	10.0	26.3684210526	11.0487461842	1002	15186
13.7787330151	15	29.4411764706	12.0688982305	57.0	13.0	29.4411764706	12.0688982305	1001	16187
14.6309928894	16	26.0	10.5403984744	49.0	11.0	26.0	10.5403984744	1040	17227
15.3545749187	17	26.3421052632	11.2443583884	54.0	8.0	26.3421052632	11.2443583884	1001	18228
16.1144800186	18	34.9310344828	17.091903779	81.0	9.0	34.9310344828	17.091903779	1013	19241
16.8387978077	19	35.275862069	14.2705304053	88.0	15.0	35.275862069	14.2705304053	1023	20264
17.5836470127	20	41.1153846154	20.7203484584	93.0	10.0	41.1153846154	20.7203484584	1069	21333
18.149892807	21	40.16	28.415038272	162.0	14.0	40.16	28.415038272	1004	22337
18.9413158894	22	40.2	14.8189068423	68.0	19.0	40.2	14.8189068423	1005	23342
19.5953679085	23	45.1739130435	15.5833025855	71.0	11.0	45.1739130435	15.5833025855	1039	24381
20.3384988308	24	54.5263157895	33.476414983	165.0	18.0	54.5263157895	33.476414983	1036	25417
21.249382019	25	45.9130434783	22.4613930488	104.0	10.0	45.9130434783	22.4613930488	1056	26473
22.1793868542	26	49.4761904762	29.60472782	157.0	12.0	49.4761904762	29.60472782	1039	27512
22.7913098335	27	59.2941176471	32.6113742443	163.0	23.0	59.2941176471	32.6113742443	1008	28520
23.6379868984	28	71.7857142857	35.1815263444	148.0	10.0	71.7857142857	35.1815263444	1005	29525
24.3948259354	29	77.9230769231	36.7412188116	156.0	17.0	77.9230769231	36.7412188116	1013	30538
25.165293932	30	74.2857142857	25.471072027	145.0	43.0	74.2857142857	25.471072027	1040	31578
25.9570798874	31	72.2	29.2602118926	131.0	23.0	72.2	29.2602118926	1083	32661
26.5809819698	32	92.5454545455	42.7431305196	177.0	38.0	92.5454545455	42.7431305196	1018	33679
27.3019230366	33	71.4	25.7676800146	110.0	31.0	71.4	25.7676800146	1071	34750
28.3465919495	34	86.8333333333	39.5513028301	189.0	49.0	86.8333333333	39.5513028301	1042	35792
29.0275390148	35	117.111111111	54.8177676882	223.0	42.0	117.111111111	54.8177676882	1054	36846
30.0582079887	36	116.3	61.5110559168	236.0	33.0	116.3	61.5110559168	1163	38009
30.9475128651	37	108.9	65.903641781	268.0	34.0	108.9	65.903641781	1089	39098
31.6506738663	38	112.555555556	43.4846361402	190.0	34.0	112.555555556	43.4846361402	1013	40111
32.3708429337	39	150.0	105.182834015	384.0	45.0	150.0	105.182834015	1050	41161
33.1272070408	40	186.5	59.5839743555	269.0	83.0	186.5	59.5839743555	1119	42280
33.8786809444	41	177.166666667	75.5323698085	284.0	53.0	177.166666667	75.5323698085	1063	43343
34.6216268539	42	91.6666666667	38.1604798479	178.0	39.0	91.6666666667	38.1604798479	1100	44443
35.5572810173	43	113.0	17.0880074906	135.0	87.0	113.0	17.0880074906	1017	45460
36.4470758438	44	86.8333333333	26.6390481979	130.0	30.0	86.8333333333	26.6390481979	1042	46502
37.1059629917	45	93.1818181818	20.3729686408	140.0	58.0	93.1818181818	20.3729686408	1025	47527
37.8367500305	46	104.3	40.3857648188	198.0	63.0	104.3	40.3857648188	1043	48570
38.5455029011	47	129.25	28.5558662975	162.0	82.0	129.25	28.5558662975	1034	49604
39.3289990425	48	128.5	17.1026313765	153.0	107.0	128.5	17.1026313765	1028	50632
39.841755867	49	190.833333333	72.3634729834	334.0	109.0	190.833333333	72.3634729834	1145	51777
40.5661168098	50	223.8	71.1460469738	313.0	129.0	223.8	71.1460469738	1119	52896
41.3410389423	51	212.2	44.4540211904	269.0	142.0	212.2	44.4540211904	1061	53957
42.1207458973	52	151.285714286	47.5626332496	228.0	87.0	151.285714286	47.5626332496	1059	55016
42.8976929188	53	158.285714286	53.0005775864	240.0	56.0	158.285714286	53.0005775864	1108	56124
43.5792000294	54	130.625	29.1072907533	161.0	83.0	130.625	29.1072907533	1045	57169
